순번,영화명,감독,배급사,개봉일,영화유형,국적,전국스크린수,전국매출액.1,전국매출액,전국관객수,전국관객수,서울매출액,서울매출액,서울관객수,장르,등급,영화구분
128,100% 울프: 푸들이 될 순 없어,알렉스 스타더만,0,2020-12-24,개봉영화,호주,370,0.13449062,1344906.2,170.89,"17,089","244,626","24,462,560","2,967",애니메이션,전체관람가,독립/예술영화
129,프랑스여자,김희정,2,2020-06-04,개봉영화,한국,244,0.1292304,1292304,181.06,"18,106","518,252","51,825,160","6,765",드라마,15세이상관람가,독립/예술영화
130,파티마의 기적,마르코 폰테코르보,0,2020-12-03,개봉영화,북아메리카,162,0.1290906,1290906,160.62,"16,062","409,680","40,968,000","5,267",드라마,12세이상관람가,독립/예술영화
131,초미의 관심사,남연우,0,2020-05-27,개봉영화,한국,380,0.12869836,1286983.6,161.37,"16,137","482,368","48,236,840","5,682",드라마,15세이상관람가,독립/예술영화
132,커넥트,제이콥 체이스,0,2021-01-20,개봉영화,북아메리카,386,0.12555751,1255575.1,141.4,"14,140","287,265","28,726,470","3,117",공포(호러),15세이상관람가,독립/예술영화
133,시원찮은 그녀를 위한 육성방법 피날레,,0,2020-02-27,개봉영화,아시아,71,0.12347934,1234793.4,148.62,"14,862","536,863","53,686,320","6,328",애니메이션,12세이상관람가,일반영화
134,밥정,박혜령,0,2020-10-07,개봉영화,한국,182,0.12320494,1232049.4,156.5,"15,650","769,695","76,969,530","9,458",다큐멘터리,전체관람가,독립/예술영화
135,빅풋 주니어2: 패밀리가 떴다,"벤 스타센,제레미 드그루손",0,2021-01-06,개봉영화,기타,308,0.12166463,1216646.3,146.82,"14,682","232,358","23,235,840","2,601",애니메이션,전체관람가,일반영화
136,극장판 요괴워치: 포에버 프렌즈,타카하시 시게하루,2,2020-10-15,개봉영화,아시아,423,0.12093575,1209357.5,154.34,"15,434","155,737","15,573,740","1,840",애니메이션,전체관람가,일반영화
137,가나의 혼인잔치: 언약,,0,2020-11-26,개봉영화,북아메리카,116,0.12005033,1200503.3,136.78,"13,678","377,896","37,789,630","4,167",다큐멘터리,전체관람가,일반영화
138,나이팅게일,제니퍼 켄트,0,2020-12-30,개봉영화,호주,329,0.11268261,1126826.1,137.02,"13,702","352,132","35,213,240","4,301",스릴러,청소년관람불가,독립/예술영화
139,부활,구수환,0,2020-07-09,개봉영화,한국,83,0.1125965,1125965,144.37,"14,437","356,305","35,630,500","4,343",다큐멘터리,전체관람가,일반영화
140,언플랜드,"척 콘젤만,캐리 솔로몬",0,2020-12-17,개봉영화,북아메리카,281,0.11198166,1119816.6,130.77,"13,077","359,236","35,923,570","4,198",드라마,15세이상관람가,일반영화
141,엔딩스 비기닝스,드레이크 도리머스,2,2020-06-24,개봉영화,북아메리카,251,0.11018088,1101808.8,134.01,"13,401","425,672","42,567,180","5,064",드라마,15세이상관람가,독립/예술영화
142,너는 달밤에 빛나고,츠키카와 쇼,0,2020-06-10,개봉영화,아시아,178,0.109578,1095780,123.82,"12,382","396,045","39,604,500","4,378",멜로/로맨스,12세이상관람가,독립/예술영화
143,세인트 아가타,대런 린 보우즈만,0,2020-03-19,개봉영화,북아메리카,390,0.10946008,1094600.8,124.5,"12,450","322,002","32,200,220","3,603",공포(호러),청소년관람불가,독립/예술영화
144,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,시바타 히로키,2,2020-09-24,개봉영화,아시아,157,0.10919154,1091915.4,147.99,"14,799","213,512","21,351,240","2,745",애니메이션,전체관람가,일반영화
145,라라걸,레이첼 그리피스,0,2020-04-15,개봉영화,호주,187,0.10868446,1086844.6,127.85,"12,785","601,810","60,181,040","6,862",드라마,전체관람가,독립/예술영화
146,마티아스와 막심,자비에 돌란,0,2020-07-23,개봉영화,북아메리카,91,0.10418342,1041834.2,116.85,"11,685","799,294","79,929,420","8,454",드라마,15세이상관람가,독립/예술영화
147,바이올렛 에버가든 ? 영원과 자동 수기 인형 -,후지타 하루카,0,2020-03-26,개봉영화,아시아,62,0.10409146,1040914.6,119.34,"11,934","439,785","43,978,500","4,790",애니메이션,전체관람가,독립/예술영화
148,리플레이,데이비드 하인즈,0,2020-12-16,개봉영화,북아메리카,242,0.10318231,1031823.1,126.92,"12,692","565,177","56,517,660","6,934",드라마,12세이상관람가,독립/예술영화
149,사랑하고 있습니까,김정권,0,2020-03-25,개봉영화,한국,295,0.10267384,1026738.4,128.78,"12,878","333,058","33,305,780","4,066",판타지,12세이상관람가,일반영화
